initial_description,final_description,classification,unit_total,company_tid,establishment_id,cleaned_initial_description
PIZZA.GD.CARNES ,,7804,80,3,147,pizza gd carnes
PIZZA.GD.PEPPERO +PICHEL,,7804,75,3,147,pizza gd peppero pichel
HOT-N-READY Super Cheese,,7804,59,9,19,hot n ready super cheese
TUBOS  DE METAL S/M,Materiales,7765,250,2,1,tubos de metal s m
000000000000954682|GUANTES ALTA SENSIBILIDAD M TRUPER                                                                                                                                                                             ,,7765,30.35,14,4,guantes alta sensibilidad m truper
"000000000000890223|VFCONECTOR 1/2"" RECTO METAL CONDUITVOLTEC                                                                                                                                                                    ",,7765,1.49,14,4,vfconector recto metal conduitvoltec
000000000001090740|CONECTOR RECTO METAL 1/2 plg TUBO EMT                                                                                                                                                                          ,,7765,1.51,14,4,conector recto metal plg tubo emt
000000000001090740|CONECTOR RECTO METAL 1/2 plg TUBO EMT                                                                                                                                                                          ,,7765,1.51,14,4,conector recto metal plg tubo emt
000000000001090740|CONECTOR RECTO METAL 1/2 plg TUBO EMT                                                                                                                                                                          ,,7765,1.51,14,4,conector recto metal plg tubo emt
000000000001090740|CONECTOR RECTO METAL 1/2 plg TUBO EMT                                                                                                                                                                          ,,7765,1.51,14,4,conector recto metal plg tubo emt
000000000001090740|CONECTOR RECTO METAL 1/2 plg TUBO EMT                                                                                                                                                                          ,,7765,1.51,14,4,conector recto metal plg tubo emt
000000000001090740|CONECTOR RECTO METAL 1/2 plg TUBO EMT                                                                                                                                                                          ,,7765,1.51,14,4,conector recto metal plg tubo emt
000000000001090740|CONECTOR RECTO METAL 1/2 plg TUBO EMT                                                                                                                                                                          ,,7765,1.51,14,4,conector recto metal plg tubo emt
000000000001090740|CONECTOR RECTO METAL 1/2 plg TUBO EMT                                                                                                                                                                          ,,7765,1.51,14,4,conector recto metal plg tubo emt
000000000001090740|CONECTOR RECTO METAL 1/2 plg TUBO EMT                                                                                                                                                                          ,,7765,1.51,14,4,conector recto metal plg tubo emt
000000000001090740|CONECTOR RECTO METAL 1/2 plg TUBO EMT                                                                                                                                                                          ,,7765,1.51,14,4,conector recto metal plg tubo emt
000000000001090740|CONECTOR RECTO METAL 1/2 plg TUBO EMT                                                                                                                                                                          ,,7765,1.51,14,4,conector recto metal plg tubo emt
000000000001090740|CONECTOR RECTO METAL 1/2 plg TUBO EMT                                                                                                                                                                          ,,7765,1.51,14,4,conector recto metal plg tubo emt
